"content","cmp_code","eu_code"
"Serão necessários, a partir de 1990, volumes elevados de recursos, para suprir as deficiências já existentes e atender aos requisitos do crescimento.","410",NA
"V - O Papel do Capital Privado","H",NA
"Ressalvadas as exceções constitucionais, a que devotarei estrito e escrupuloso respeito, como é de meu dever, não permitirei que o Estado faça nada do que, com mais eíiciência, possa ser feito pela iniciativa privada.","401",NA
"O papel da livre iniciativa, portanto, será essencial para a democratização da Economia que deve, necessariamente, seguir-se à redemocratização política.","401",NA
"O empresariado responsável deste país precisa de regras estáveis na economia e exige racionalidade nas decisões de política econômica.","401",NA
"Precisa também readquirir a confiança, requisito indispensável para a retomada dos investimentos.","401",NA
"Serei o primeiro a dar o exemplo da austeridade e este princípio conduzirá as tarefas e norteará as decissões do governo.","305.2",NA
"Garanto, na medida de minhas prerrogativas, liberdade de produzir a quem queira participar do progresso brasileiro,","401",NA
"aumentando a produção e criando novas oportunidades de emprego,","410",NA
"livre dos embaraços e dos percalços com que o Estado, historicamente, cerceia a livre competição, interfere na vida das empresas","401",NA
"e estabelece privilégios cartoriais em favor dos grupos mais poderosos.","403",NA
"Desejamos incentivar a produção e não a especulação.","410",NA
"O capital exerce sua função social através do empreendimento produtivo que é a empresa e esta deverá ser valorizada.","410",NA
"Um país como o nosso não tem por que temer os investimentos externos, para cuja aplicação haverá regras claras, definidas e estáveis.","414",NA
"Eles são indispensáveis para suprir as deficiências da poupança interna e financiar a retomada do crescimento econômico.","414",NA
"O capital privado, seja nacional ou externo, será, portanto, convocado a assumir seu importante papel em meu projeto de desenvolvimento.","414",NA
"A nova etapa de crescimento econômico exige a definição de um novo padrão de financiamento que incluirá a participação do setor privado em áreas até agora monopolizadas pelo setor público.","414",NA
"Asseguro, no entanto, que serei extremamente rigoroso na defesa do patrimônio público, sobretudo das estatais brasileiras.","413",NA
"Sob meu comando, aquelas que são produtivas e mantêm rentabilidade compatível com o sentido de modernidade e eficiência que vamos imprimir à Administração, serão livres para a gerência eficiente de seus atos, para fixar salários a preços de mercado e definir sua própria política de investimentos.","401",NA
"Privatizar não significa necessariamente transferir o. patrimônio público para a propriedade privada.","401",NA
"Temos que privatizar, não todas as empresas públicas, como alguns açodada-mente supõem, querem ou pretendem,mas sim a sua gestão, submetendo-as aos métodos privados de gerenciamento a que todas devem estar sujeitas, em busca de eficiência, para que possam competir no mercado, sem privilégios, sem subterfúgios e sem mordomias típicas do corporativismo.","401",NA
"O que pretendemos é verdadeiramente democratizar o capital das empresas públicas para que elas deixem de pertencer apenas ao Governo e a alguns privilegiados e passem efetivamente a ser patrimônio do povo brasileiro.","401",NA
"Todo o setor público, porém, produtivo ou não, prestará contas à Sociedade brasileira, aos usuários de seus serviços e estará sob permanente, constante e aberta fiscalização de todos.","303",NA
"VI - O Dinheiro do Trabalhador","H",NA
"O Governo não terá mais ingerência nem manipulará, como até hoje tem feito impunemente, o dinheiro da Previdência, que é do trabalhador brasileiro, nem as demais contribuições que a ele pertencem, como é o caso do Fundo de Garantia por Tempo de Serviço e o PIS/PASEP.","504",NA
"Mais do que prevê a Constituição Federal em vigor, aos trabalhadores e aos empresários será assegurada não apenas a representação ainda não materializada nos órgãos coletivos que deliberem sobre assuntos de seu peculiar interesse, mas a própria decisão sobre como, onde e mediante que critérios aplicar, em benefício de toda a coletividade, o dinheiro que legal e legitimamente lhes pertence.","405",NA
"Tenho a convicção de que o grau de desenvolvimento já alcançado no País pelo empresarido nacional e pelos trabalhadores é o melhor sinal de maturidade para que eles possam, sem a interferência perturbadora do Governo, estabelecer novos padrões de eficiência no sistema previdenciário.","405",NA
"A correlação constitucional dos valores das aposentadorias com o salário mínimo será mantida em qualquer circunstância, pondo-se fim de vez à terrível discriminação de que foram vítimas, durante tantos anos e ainda hoje, os beneficiários do sistema previdenciário.","504",NA
"O aposentado precisa de Justiça, não de caridade!","504",NA
"VII - O Estado a Serviço da Sociedade","H",NA
"A redefinição do papel do Estado, entretanto, não se reduz, como supõem alguns, a um programa de privatização ou reprivatização de empresas.","401",NA
"Terá, ao contrário, objetivos muito mais amplos e ambiciosos, na medida em que se destina a colocar o Brasil em compasso com o mundo desenvolvido, aumentando a nossa participação no comércio mundial, abrindo fronteiras aos nossos parceiros","407",NA
"e garantindo ao cidadão, que aqui vive, eficiência, respeito e tratamento digno por parte de todo o Serviço Público.","303",NA
"Governo e Estado deixarão de tutelar a Sociedade, como é típico do estado cartorial e paternalista que, em maior ou menor grau, sempre tivemos, para passar a servi-lo como instrumento do progresso, do bem-estar, da paz e da tranqüilidade social.","401",NA
"Isto implica fortalecer e dar efetividade ao seu poder regulamentar,","403",NA
"ao seu poder de fiscalizar e coordenar as atividades privadas, inclusive as delegadas pelo próprio Estado,","401",NA
"e impõe, em última análise, a completa reformulação do conceito de planejamento,","404",NA
"para adaptá-lo às necessidades de uma Sociedade aberta, uma Economia livre","401",NA
"e Instituições democráticas.","202.1",NA
"Isto supõe também o resgate da dignidade do servidor público e sua efetiva valorização.","303",NA
"Muito ao contrário do que pensam os adeptos do Estado reduzido, o fim da interferência estatal indevida na economia não significa um Estado fraco.","401",NA
"Ao contrário, exige instituições públicas fortes, um poder público atuante, dinâmico, desburocratizado e eficiente,","303",NA
"para que possa cumprir a sua função social,","504",NA
"protegendo os desassistidos, os pobres, os desamparados e aqueles que o modelo econômico perverso e injusto empurra para a marginalidade dos benefícios econômicos e sociais, produzidos coletivamente por todo o povo brasileiro.","503",NA
"VIII - O Resgate da Dívida Social","H",NA
"O resgate da dívida da cidadania exigirá a solução da dívida externa sobre a qual já propus medidas específicas em depoimento público perante a Comissão Parlamentarde Inquérito do Senado que examina o problema.","414",NA
"Deverá igualmente ser precedida de reformas de caráter patrimonial e administrativo que permitam a recuperação do setor público para a sua função social.","303",NA
"Estas iniciativas vão demonstrar o esforço de austeridade do governo, tornando iniludível nosso empenho em prol da retomada do desenvolvimento.","414",NA
"Isto permitirá o financiamento do setor público por meios não inflacionários, inclusive através do alongamento do perfil da dívida interna, com prazos mais longos de vencimentos dos sais novos títulos.","414",NA
"Não vamos confrontar, por conseqüência, nem os credores externos nem muito menos os credores internos.","414",NA
"Por isso é oportuno dizer mais uma vez o que uma vez já afirmei: não quero, não pretendo nem desejo brigar com o FMI.","414",NA
"Estou disposto, sim, a brigar dentro do FMI.","414",NA
"Estes dois passos, porém, são apenas instrumentos para a retomada da racionalidade do sistema econômico,","414",NA
"a fim de que possamos, paralelamente, resgatar a mais grave, a mais desafiadora e a mais angustiante de todas as dívidas brasileiras - a dívida da cidadania.","601.1",NA
"E isto só será possível com a retomada do crescimento econômico,","410",NA
"para que possamos gerar anualmente os quase 2 milhões de novos empregos de que necessitamos.","701",NA
"Só assim evitaremos os espetáculo a que assistimos nos dois últimos anos, quando 200 mil jovens brasileiros emigraram, em busca de oportunidades no mercado de trabalho de outros países.","701",NA
"Temos que mobilizar nossas energias, temos que despertar a Nação num esforço coletivo e solidário, para pôr fim, de uma vez por todas, aos vexatórios índices de desemprego social que nos envergonham perante nossos irmãos e toda a comunidade internacional.","701",NA
"A remoção dos impasses da dívida, o estancamento do déficit do setor público e a adoção de regras claras e estáveis na economia são apenas pré-condições para pagarmos de uma vez por todas a dívida contraída com a cidadania, responsável pela marginalização econômica e social de quase dois terços da população brasileira.","414",NA
"É preciso dizer, aqui e agora, - dizermos juntos depois da vitória nas eleições de 15 de novembro, dizermos no dia da posse, e dizermos sempre durante todo o nosso governo, -","305.2",NA
"Governo, - que não nos conformamos com a fome por que passam diariamente milhões de brasileiros.","504",NA
"Não nos conformamos com a miséria, com a desnutrição e com a mortalidade infantil.","504",NA
"Não nos conformamos com o analfabetismo.","506",NA
"Não nos conformamos com as condições subumanas de habitação,","504",NA
"de falta de saneamento básico,","504",NA
"e com a precariedade dos transportes coletivos.","411",NA
"Não nos conformamos com a indignidade do salário mínimo que não permite a sobrevivência do trabalhador e de sua família,","701",NA
"como não nos conformamos com a queda da qualidade do ensino e dos índices de evasão e repetência nas escolas.","506",NA
"Temos que dizer não à violência e à criminalidade.","605.1",NA
"Tanto aquela praticada pelos que violam a lei e devem ser punidos, quanto pelos que, em nome do dever de reprimi-la, a praticam graças à complacência do Estado que os investe de autoridade para cujo exercício não estão preparados.","605.1",NA
"Temos que restabelecer a paz, a tranqüilidade e as normas de convivência harmônica e civilizada nas grandes cidades, onde não existe segurança e onde o cidadão vive em permanente estado de exaltação e medo.","605.1",NA
"Temos que prevenir a delinqüência","605.1",NA
"e devotar esforços para acabar com o espetáculo triste, chocante, vergonhoso e anticristão da infância abandonada, ante a indiferença coletiva.","504",NA
"Não pretendemos combater esses males, porém, com as armas tradicionais do clientelismo.","304",NA
"Menos ainda com os instrumentos da repressão social e do controle de um Estado policial, onde a ordem se impõe pelo terror, pelo medo e pelo desrespeito aos direitos humanos.","201.2",NA
"Se necessário, haveremos de promover uma revolução em que se engajem todas as classes sociais, todos os segmentos e todas as esferas de governo.","606.1",NA
"Nela, um papel especial e de relevo estará reservado a duas comunidades, em especial.","411",NA
"IX - A Revolução da Ciência e da Tecnologia","H",NA
"A revolução que pretendo promover em primeiro lugar é a da Ciência e da Tecnologia.","411",NA
"A comunidade científica nacional, e não o governo que a ela apenas se juntará, será convocada para promovê-la em todos os níveis.","411",NA
"A política científica e tecnológica não-será definida nem dirigida isoladamente pelo Governo, mas sim pelos cientistas brasileiros, por suas instituições e pela sua liderança, de forma integrada, autônoma e independente e, por via de conseqüência, de maneira livre, como livres de condicionamentos devem ser a pesquisa científica e a busca do saber e do conhecimento.","411",NA
"Uma política de desenvolvimento científico e tecnológico prescrita pelo Governo é seguramente uma política do interesse do Estado,","411",NA
"mas não necessariamente do interesse do País e da Sociedade.","606.1",NA
"Daí a necessidade de integração que defendo.","606.1",NA
"Peço licença para uma referência de ordem pessoal, mas indispensável, como um dever de justiça.","305.2",NA
"Com as medidas que neste campo me proponho executar, resgato a memória de meu pai","305.2",NA
"e rendo-lhe um tributo de reconhecimento, por seu empenho e seu pioneirismo na criação ,do Ministério da Ciência e Tecnologia, proposto numa série de discursos no Senado, em seu primeiro mandato naquela Casa do Congresso Nacional.","411",NA
"A eles, o meu Governo garantirá meios, instrumentos, recursos, apoio, auxílio e incentivos para que se coloquem a serviço de seu País.","411",NA
"Não teria sentido, porém, dar condições de trabalho aos que se encontram no exterior, e negá-las aos que bravamente ainda resistem aqui, apesar de todas as adversidades.","701",NA
"Igual tratamento será dado aos centros especializados e de excelência que ainda temos, sobrevivendo aos percalços do abandono e da indiferença da própria sociedade brasileira.","411",NA
"A eles serão garantidos o aval, a participação e a proteção do Poder Público.","411",NA
"Asseguro-lhes, em primeiro lugar, que não haverá restrições governamentais de qualquer ordem, sejam elas de natureza administrativa, política ou burocrática, para que possam livremente importar os equipamentos de que necessitam para as suas pesquisas e o desenvolvimento de seu trabalho.","411",NA
"Ao contrário do que hoje Ocorre, quando os burocratas gozam de câmbio privilegiado para suas vilegiaturas, enquanto estudantes e pesquisadores são tratados como turistas comuns, vamos exatamente reverter esta situação.","411",NA
"Tenho consciência de que não será isolando-nos, nem aspirando a uma pretensa autonomia do conhecimento humano no campo científico, que chegaremos à auto-suficiência para o atendimento de nossas necessidades específicas.","411",NA
"Exatamente por isso, entendo que é preciso intensificar, estimular e promover a livre circulação de idéias em benefício do próprio avanço da Ciência.","201.1",NA
"Os cientistas brasileiros devem estar presentes e atuantes em todos os encontros científicos internacionais, da mesma forma como aqui devemos receber, num intercâmbio por todos os títulos útil e necessário, todos os que possam ajudar-nos a trilhar a dura, mas promissora senda das soluções brasileiras, para desafios brasileiros que ainda temos que vencer.","411",NA
"Este será o prelúdio de nossa preparação para o advento do novo século.","411",NA
"A batalha pelo desenvolvimento não será vencida senão pela superação do ""gap"" tecnológico que nos separa, de forma cada vez mais perigosa, do mundo desenvolvido.","411",NA
"Sem isso, jamais poderemos competir proveitosamente nos mercados mundiais, cada vez mais sujeitos a restrições e práticas protecionistas.","407",NA
"Não pretendemos e não podemos continuar apenas como simples exportadores de matérias-primas, semi-elaborados industriais ou produtos já perecidos tecnologicamente no mercado mundial.","411",NA
"Temos que colocar a ciência a serviço do desenvolvimento, para superarmos nossas deficiências, para nos ajustarmos aos mercados e para conquistá-los com a exportação de serviços, técnicas e conhecimentos.","411",NA
"A América Latina e a África são áreas de nosso imediato interesse, porque, como nós, enfrentam problemas e desafios idênticos aos nossos, e em alguns casos, questões que já superamos e vencemos.","107",NA
"Nesses continentes podemos aprofundar uma intensa e profícua política de intercâmbio científico e comercial.","108",NA
"Neste sentido, não podemos abandonar o esforço pela integração latino-americana, através de mecanismos politicamente mais adequados, entre os quais dou integral apoio à proposta de eleição direta para o parlamento latino-americano, objeto de proposta de subcomissão para este fim instituída na Comissão de Relações Exteriores da Câmara dos Deputados.","108",NA
"A cooperação científica com o continente é uma dessas promissoras expectativas.","108",NA
"Não pretendo limitar áreas de atuação prioritária que serão definidas pela própria comunidade científica.","411",NA
"Permito-me indicar apenas que temos de concentrar esforços e recursos e meios no desenvolvimento da Informática, da robótica e da automação industrial, da biotecnologia, da genética, da microeletrônica, da energia nuclear para fins pacíficos e da telemática, se pretendemos concorrer proveitosamente no mercado mundial.","411",NA
"É claro que o programa brasileiro de Desenvolvimento Científico e Tecnológico implicará, sem prejuízo de sua autonomia, um gerenciamento de projetos e de seus resultados, pelos instrumentos que, para este fim, serão criados por sugestão da própria comunidade científica.","411",NA
"Para tanto, teremos que assegurar o seu financiamento.","411",NA
"Uma parcela dos recursos necessários ao custeio do Fundo de Desenvolvimento Científico e Tecnológico deverá provir dos dividendos das empresas produtivas do Estado e de fontes que sei passíveis de recrutamento, por um período pré-definido, proveniente das importações que tivermos que realizar, em razão exatamente de nosso ""gap"" tecnológico.","411",NA
"Minha proposta, em suma, é a de que podemos vencer a fome, a miséria e o subdesenvolvimento, com os recursos da inteligência.","411",NA
"X - Educação, Arte e Cultura para o Povo","H",NA
"A revolução tecnológica que proponho, no entanto, não teria sentido se não fosse acompanhada de uma revolução idêntica no campo da Educação, na área do Ensino e no universo da Cultura.","506",NA
"Qualquer mudança, qualquer transformação, qualquer reforma educacional passa, antes de mais nada, pela valorização, em termos econômicos, em termos de relevância social e em termos de reconhecimento profissional do professor brasileiro.","506",NA
"Não podemos pensar em superar os desafios da Educação, enquanto continuar a prevalecer na sociedade brasileira a indiferença e, em muitos sentidos, a verdadeira marginalização a que estão, em inúmeros aspectos, submetidos os profissionais da Educação - professores, pesquisadores, supervisores, técnicos e pessoal administrativo.","506",NA
"O professor não pode continuar sendo tratado como um simples instrumento da transmissão de conhecimentos cristalizados, tendo que lutar nas ruas, e em estado de greve quase permanente, pela sua própria sobrevivência condigna.","506",NA
"Sei que esta é, em grande parte, pelo menos no que se refere ao primeiro e segundo graus, uma questão de competência de Estados e Municípios.","506",NA
"Reconheço que atualmente há impedimentos de ordem constitucional, e de ordem legal, para que possamos operar transformações profundas, sérias, significativas e necessárias no que se refere aos sistemas de ensino existentes no País","506",NA
