"text","cmp_code","eu_code"
"redução da fome, da miséria e das desigualdades, por meio da ampliação dos programas sociais.","504",NA
"Estão construídas condições objetivas para um maior crescimento com juros mais baixos, aumento dos investimentos e intensificação das políticas sociais, preservado o equilíbrio macroeconômico.","414",NA
"O que está em jogo agora é aprofundar esse processo e criar uma nova dinâmica em nossa sociedade.","305.2",NA
"Para tanto, nunca é exagerado reiterar, é fundamental reeleger Lula e com isso impedir que as forças do atraso reconquistem o governo, interrompendo e revertendo as mudanças iniciadas em 2003.","305.2",NA
"O povo brasileiro está convocado uma vez mais a decidir os rumos da Nação.","305.2",NA
"Em outubro próximo mais de 125 milhões de eleitores decidirão se as mudanças iniciadas em 2003 continuarão e, sobretudo, se ganharão maior intensidade.","305.2",NA
"Para tanto, faz-se necessário também eleger governadores e parlamentares comprometidos com as mudanças.","305.2",NA
"As eleições de outubro de 2006 serão um confronto entre passado e futuro.","000",NA
"De um lado, o bloco conservador que governou o Brasil na década de noventa e nos primeiros anos deste século.","503",NA
"De outro, as forças progressistas comprometidas com um projeto nacional de desenvolvimento popular, democrático e soberano que passaram a governar o Brasil desde janeiro de 2003, com a posse de Luiz Inácio Lula da Silva na Presidência da República.","503",NA
"Assim, as eleições de 2006 – mais do que quaisquer outras no passado - estarão marcadas por um enfrentamento político-ideológico que opõe um bloco social comprometido com profundas mudanças na sociedade brasileira àqueles que sempre utilizaram o poder do Estado em benefício dos interesses de uma minoria.","503",NA
"Como sempre ocorreu em nossa história, grupos que há séculos dominam este país – e controlaram até bem pouco tempo o Governo central – desencadearam ofensiva sem precedentes para preservar privilégios e voltar às posições perdidas.","503",NA
"Carente de coragem para expor seu verdadeiro programa, a oposição neo-liberal tenta construir um programa com ênfase na “ética”, no “crescimento” ou no “choque de gestão”.","305.1",NA
"Falta-lhe, no entanto, autoridade moral e credibilidade política para dar consistência a esse discurso.","304",NA
"Como podem falar em “ética” os autores da privataria que entregou grande parte das empresas estatais em processos marcados por graves denúncias de irregularidades?","304",NA
"Que autoridade têm aqueles que engavetaram denúncias na Justiça ou deixaram de investigá-las nas dezenas de CPIs abafadas na Câmara, Senado e Assembléia Legislativa de São Paulo?","304",NA
"Que credibilidade têm para falar em “crescimento” os que mergulharam o país na estagnação,","410",NA
"submeteram-se aos interesses do capital financeiro","403",NA
"e foram incapazes de propor um modelo de crescimento com inclusão social?","403",NA
"Que “choque de gestão” é esse, finalmente, que deixou sucateou o Estado brasileiro e que semeou o caos no sistema de segurança pública em São Paulo nos últimos meses?","305.1",NA
"Na verdade essa oposição busca ocultar seu projeto conservador, mas não consegue encobrir seus preconceitos.","305.1",NA
"Qualificam de “populistas” ou “assistencialistas” às políticas de cunho universal do atual Governo.","504",NA
"Não reconhecem esses direitos, que têm melhorado as condições de vida de dezenas de milhões de brasileiras e brasileiros, permitindo-lhes mandarem seus filhos à escola, beneficiarem-se de cuidados mínimos da saúde e inclusive acederem ao mercado de consumo.","504",NA
"A direita vê esses investimentos sociais,","504",NA
"assim como os aumentos do salário mínimo acima da inflação,","412",NA
"como “ameaças ao equilíbrio fiscal”, tese que foi desmentida pela realidade nos últimos três anos.","414",NA
"O projeto real da oposição é o de voltar à era FHC: redução dos investimentos sociais,","504",NA
"retomada das privatizações,","413",NA
"retrocesso democrático","202.1",NA
"e submissão no plano internacional.","103.1",NA
"Os anunciados “cortes do gasto público” visam, em verdade, cortes nas políticas sociais.","504",NA
"O Governo Lula iniciou a reconstrução da capacidade de gestão, indução e coordenação do Estado.","305.1",NA
"A oposição quer a ineficiência do “Estado mínimo”.","403",NA
"Sob o pretexto de manter a segurança pública – que não conseguiram fazer nos estados que governam -os conservadores violam os direitos humanos,","201.2",NA
"atacam os movimentos sociais","201.2",NA
"e querem reduzir a participação da cidadania na definição de novos rumos para o país.","202.1",NA
"Servis no plano internacional, criticam as políticas de integração continental","108",NA
"e de aproximação com países em desenvolvimento ao sul do planeta (relações Sul-Sul),","107",NA
"necessárias para enfrentar a globalização injusta e desigual que o mundo vive.","103.1",NA
"A CONSTRUÇÃO DO FUTURO",NA,NA
"Pela obra realizada entre 2003 e 2006 o Governo Lula mostrou seu compromisso com um projeto nacional de desenvolvimento, que ponha fim à exclusão","202.1",NA
"e à pobreza,","416.2",NA
"amplie a democracia com reformas institucionais e a universalização da cidadania","202.1",NA
"e garanta ao Brasil um lugar soberano e solidário no mundo.","103.1",NA
"As políticas aplicadas a partir de 2003 pelo Governo Lula não só evitaram a catástrofe econômica, como lançaram os alicerces de um desenvolvimento sustentável que, no médio prazo, permitirá ao Brasil ingressar em um ciclo virtuoso capaz de combinar crescimento econômico, bem-estar social, democratização política, soberania nacional e integração continental.","416.2",NA
"Para atingir esse objetivo estratégico o presidente Lula renova seus compromissos com o povo brasileiro, apresentando seu Programa de Governo estruturado em torno de seis eixos.","416.2",NA
"Esses compromissos são também da coalizão de partidos, movimentos sociais e de amplos segmentos cidadania que se uniram para avançar nas mudanças no segundo mandato de Lula.","606.2",NA
"A tarefa hoje é eleger Lula.","305.2",NA
"Amanhã será dar continuidade às mudanças, governando por mais quatro anos o Brasil.","416.2",NA
"COMPROMISSOS COM O POVO BRASILEIRO PARA CONTINUAR MUDANDO",NA,NA
"Combate à exclusão social, à pobreza e à desigualdade",NA,NA
"O segundo Governo Lula continuará avançando na erradicação da fome, manterá e ampliará as exitosas políticas sociais até agora implementadas no Programa Fome Zero, especialmente na Bolsa Família.","504",NA
"Dará maior profundidade ao combate à concentração regional e social de renda e riqueza.","503",NA
"Ampliará as oportunidades de emprego, trabalho e renda, especialmente por meio de medidas que impulsionem os investimentos públicos","403",NA
"e privados mais intensivos em mão de obra,","402",NA
"com ênfase nas micro e pequenas empresas.","403",NA
"Prosseguirá fortalecendo a prática de gestão compartilhada entre as três esferas do Governo,","202.1",NA
"investindo nos serviços de qualidade à população.","504",NA
"Avançará na consolidação do Sistema Único de Saúde (SUS),","302",NA
"centrando esforços na universalização dos serviços e melhoria do atendimento ao cidadão.","504",NA
"Aprofundará o processo de reforma urbana, dando continuidade aos investimentos que garantam acesso à moradia digna e a serviços urbanos essenciais,","504",NA
"em especial de saneamento e transporte público.","411",NA
"Prosseguirá em sua determinação de garantir luz para todos.","411",NA
"Dará continuidade às medidas para a constituição de uma economia solidária, estimulando o cooperativismo,","403",NA
"as iniciativas autônomas de desenvolvimento local,","301",NA
"a auto-gestão, o micro crédito","403",NA
"e ampliando a participação dos trabalhadores na economia.","701",NA
"O Governo Lula, reconhecendo os jovens como sujeitos de direitos, garantirá a continuidade de políticas que lhes têm permitido o acesso ao ensino de qualidade em todos os níveis,","506",NA
"à cultura, ao esporte, ao lazer e a empregos dignos.","502",NA
"As políticas e mecanismos que constroem a igualdade das mulheres serão fortalecidas,","503",NA
"com o enfrentamento da violência","605.1",NA
"e estímulo à participação na vida pública.","202.1",NA
"Continuarão a ser implementadas medidas que garantam e ampliem mecanismos de combate ao racismo","503",NA
"e à homofobia,","503",NA
"proteção dos idosos","701",NA
"e da superação da discriminação a pessoas com deficiência,","705",NA
"dedicando-se ênfase especial aos direitos das crianças e dos adolescentes.","706",NA
"Essa dimensão da inclusão social é fundamental para uma maior abrangência da política de Direitos Humanos do Governo.","201.2",NA
"Para mudar as condições de vida dos cidadãos é necessário mudar o país, democratizando o acesso às riquezas,","503",NA
"fortalecendo a participação popular","202.1",NA
"e criando oportunidades para todos os brasileiros e brasileiras, garantindo-lhe acesso a direitos consagrados e novos direitos que se coloquem na agenda pública.","503",NA
"Aprofundamento do novo modelo de desenvolvimento: crescimento com distribuição de renda e sustentabilidade ambiental.",NA,NA
"A luta pela inclusão social e o combate à pobreza exigem um crescimento mais acelerado da economia – bem acima dos níveis atuais –","410",NA
"com preços estabilizados, equilíbrio fiscal","414",NA
"e redução da vulnerabilidade externa.","103.2",NA
"A continuidade da redução das taxas reais de juros ajudará a diminuir mais ainda a dívida pública, ampliará o crédito às empresas produtivas e aos trabalhadores.","414",NA
"Nosso Governo continuará em sua tarefa de constituir um grande mercado de bens de consumo de massas,","403",NA
"o que vincula de maneira indissociável crescimento com distribuição de renda.","503",NA
"Esse propósito requer prioritária diretriz governamental voltada para a elevação substancial dos investimentos, especialmente públicos e nacionais, bem como privados e estrangeiros.","410",NA
"Pressupõe ainda o fortalecimento da iniciativa do Estado, das empresas estatais e do sistema financeiro público, por sua capacidade indutora do desenvolvimento.","410",NA
"Terão continuidade ações de regulação que garantam as condições para o investimento privado necessário ao desenvolvimento do país, além de novas alterações na legislação que favoreçam o ambiente para investimento.","410",NA
"Prosseguirão e ganharão mais intensidade as iniciativas governamentais para desenvolver regiões do país historicamente postergadas,","301",NA
"bem como para reforçar o dinamismo do desenvolvimento territorialmente planejado.","404",NA
"Políticas industriais, de inovação tecnológica","411",NA
"e de estímulo às exportações,","402",NA
"de incentivo às micro e pequenas empresas, levadas adiante pelo atual Governo,","403",NA
"produzirão ganhos de escala, permitirão incremento da produtividade e aumentos do emprego e dos rendimentos das famílias assalariadas.","410",NA
"A ampliação da infra-estrutura energética, apoiada na diversificação da matriz anterior, permitirá que o novo ciclo de desenvolvimento se dê sem os sobressaltos do passado.","411",NA
"Terão continuidade os investimentos em infra-estrutura logística, aumentando a qualidade de nossa rede rodoviária, ferroviária, portuária e a aero portuária.","411",NA
"A sustentabilidade dessas transformações será condicionada pelo prosseguimento das políticas de conservação do meio ambiente.","501",NA
"Ações de planejamento e controle ecológico","501",NA
"darão também novo alento à investigação científica","411",NA
"e terão seus resultados monitorados por indicadores públicos.","202.1",NA
"Uma política de ciência e tecnologia, necessária para a inovação industrial, agrícola e de serviços, fará com que as universidades e os centros de pesquisa se aproximem mais dos grandes temas do desenvolvimento nacional.","411",NA
"O novo ciclo de desenvolvimento estimulará ainda mais os micro, pequenos e médios empreendedores por meio de medidas jurídicas, técnicas, fiscais e creditícias.","403",NA
"O turismo continuará a ser um dos setores prioritários da agenda do desenvolvimento, por sua alta capacidade de geração de empregos, divisas","408",NA
"e de incentivo ao desenvolvimento regional do país.","301",NA
"A pesca é outro setor que ganhará mais importância na política integrada de segurança alimentar, inclusão social e geração de divisas.","703.1",NA
"Para que o modelo seja sustentável será necessário prosseguir combinando a Reforma Agrária, o apoio à agricultura familiar, o incentivo ao agro-negócio e o equacionamento de seus problemas estruturais de comercialização.","703.1",NA
"A expansão sustentada da economia será garantida pela ação combinada de vários bancos, especialmente os públicos,","410",NA
"e por medidas adicionais que incentivem o retorno de capitais especulativos para a esfera da produção.","402",NA
"O conjunto dessa orientação ajudará na construção de um padrão de financiamento não baseado no endividamento público ou em pesada carga tributária.","414",NA
"Brasil para todos.",NA,NA
"Educação massiva e de qualidade.",NA,NA
"Cultura, comunicação, ciência e tecnologia como instrumentos de desenvolvimento e de democracia.",NA,NA
"O país está ingressando em um novo ciclo de desenvolvimento e deve ser capaz, nos próximos anos, de produzir e de se apropriar dos avanços científicos e tecnológicos,","411",NA
"bem como da produção cultural em todos os campos como uma das condições da ampliação e do exercício de uma cidadania ativa.","202.1",NA
"A educação de qualidade e ao alcance de todos deve ser entendida como instrumento de produção, organização e difusão de conhecimento e cultura.","506",NA
"Deve contribuir para a formação de gerações de brasileiros capazes de compreender criticamente e dar significação aos valores culturais construídos ao longo da história,","601.1",NA
"em diálogo permanente e afirmativo com as demais culturas do mundo.","607.1",NA
"O desafio central para universalizar a educação nessas bases","506",NA
"será acompanhado por um conjunto de iniciativas que garantam o acesso aos bens culturais","502",NA
"e à informação.","411",NA
"O Estado Brasileiro reafirmará seu compromisso com uma política integrada de educação, reconhecendo-a como direito inalienável e inadiável.","506",NA
"Isso exigirá expressivos investimentos na ampliação e acesso ao sistema escolar,","506",NA
"bem como a democratização da gestão das unidades educacionais.","202.1",NA
"Para alcançar esses objetivos, entre outras ações, é fundamental a aprovação do FUNDEB pelo Congresso Nacional.","506",NA
"Será dada ênfase ao acesso à escola pública democrática e de qualidade;","506",NA
"à superação do analfabetismo,","506",NA
"à inclusão digital,","411",NA
"ao acesso mais amplo à educação profissional, técnica e tecnológica,","506",NA
"e a uma universidade reformada, expandida e de qualidade superior.","506",NA
"Por serem pressupostos e também fatores fundamentais para garantir a inclusão econômica, social e política de dezenas de milhões de brasileiras e brasileiros, esse compromisso assumirá o caráter de objetivo estratégico do segundo governo Lula.","506",NA
"Tratase, portanto, de conceber a educação como questão nacional de primeira grandeza e torná-la prioridade do Estado e da sociedade.","506",NA
"Ampliação da democracia",NA,NA
"O processo de inclusão social exige a generalização da cidadania,","202.1",NA
"reformas do Estado e do sistema político que garantam não só o aprimoramento da democracia representativa, como a criação de um espaço público capaz de permitir a geração de novos direitos","202.1",NA
"e a efetiva participação de todos os brasileiros e brasileiras na construção nacional.","202.1",NA
"O segundo governo Lula aprofundará e expandirá o alcance das políticas voltadas para a afirmação definitiva dos direitos das mulheres na sociedade brasileira.","503",NA
"O respeito aos Direitos Humanos permanecerá como marco do Governo.","201.2",NA
"Prosseguirá a implementação de medidas que garantam e ampliem mecanismos de igualdade de brasileiros e brasileiras,","503",NA
"de combate a todas manifestações de discriminação","503",NA
"e de proteção da cidadania contra quaisquer formas de violência, provenientes do Estado ou da sociedade.","201.2",NA
"Com incentivo às populações discriminadas dar-se-á conseqüência à universalização da cidadania, da igualdade de direitos e respeito às diferenças.","503",NA
"Terá prioridade uma Reforma Política a ser definida por meio de amplo diálogo entre o Congresso Nacional, os partidos e a sociedade brasileira.","202.1",NA
"Ela deverá assegurar a pluralidade de partidos,","202.1",NA
"a fidelidade partidária,","202.1",NA
"o financiamento público de campanhas eleitorais","202.1",NA
"e o voto proporcional,","202.1",NA
"preferencialmente por lista pré-ordenada,","202.1",NA
"além de incentivar a construção de maiorias necessárias à governabilidade.","202.1",NA
"Essa Reforma deverá incluir, ainda, a revisão dos procedimentos de elaboração e fiscalização orçamentária, dentre outras medidas destinadas a fortalecer a representação popular e dar plena legitimidade aos poderes da República.","202.1",NA
"A Reforma do Estado assegurará mais transparência e um maior controle social,","202.1",NA
"além de propiciar meios mais eficazes para combater a corrupção e o burocratismo.","304",NA
"O fortalecimento da Controladoria Geral da União,","304",NA
"a adoção de controles externos e públicos dos órgãos federais e estaduais","304",NA
"e a modernização da legislação garantirão celeridade e rigor dos processos de julgamento e punição dos corruptos.","304",NA
"O segundo Governo Lula prosseguirá na busca de um maior controle dos cidadãos sobre o Estado, estimulando a participação da sociedade civil na formulação do orçamento (como ocorreu com o Plano Plurianual)","202.4",NA
"e na definição, avaliação e controle das políticas públicas, por meio de conselhos e comitês representativos.","202.4",NA
"Continuarão a ter espaço e importância as conferências nacionais temáticas já realizadas neste Governo, que reuniram mais de dois milhões de pessoas.","202.4",NA
"Será garantida a democratização dos meios de comunicação,","202.1",NA
"permitindo a todos o mais amplo acesso à informação, que deve ser entendida como um direito cidadão.","201.2",NA
"Para se atingir esses objetivos será fundamental aprofundar a Reforma do Judiciário, que garante os direitos da cidadania","201.2",NA
"e contribui para a melhoria do ambiente de negócios.","410",NA
"A melhoria da gestão continuará a ser perseguida, focada especialmente na prestação de serviços de qualidade à população","504",NA
"e na busca, igualmente, da qualidade do gasto público.","303",NA
"O Governo continuará a se relacionar de forma democrática com os poderes Legislativo e Judiciário, com os estados e municípios, com os partidos políticos, com os meios de comunicação, com as igrejas e com os movimentos sociais.","202.1",NA
"O esforço iniciado de reaparelhamento material e valorização pessoal das Forças Armadas permitirá que elas venham melhor cumprir sua missão constitucional.","104",NA
"Garantir a segurança de brasileiros e brasileiras",NA,NA
"O próximo Governo avançará e consolidará sua concepção de Segurança Pública Cidadã, articulada pelo Sistema Único de Segurança Pública,","605.1",NA
"tendo como princípios básicos a integração das instituições de segurança pública","302",NA
"e a democratização e participação da sociedade e do Estado no combate à violência e ao crime.","202.1",NA
"A integração permitirá superar a fragmentação, a ineficiência e ineficácia do sistema e de seus organismos,","303",NA
"promovendo a articulação efetiva da elaboração e execução das políticas públicas nos níveis federal, estadual e municipal.","302",NA
"Buscar-se á articular iniciativas de repressão e de prevenção, com especial atenção para as ações de inteligência e de informação em todas esferas do sistema.","605.1",NA
"A democratização e participação da sociedade e do Estado contribuirá para a formação de uma nova cultura política no trato da questão da violência – a noção de segurança pública cidadã -, orientada para a prevenção e repressão eficiente do crime, em especial do crime organizado,","605.1",NA
"por meio da participação solidária da sociedade e dos aparatos policiais em todos os níveis da Federação, assumindo a segurança como direito fundamental da cidadania na sociedade brasileira.","202.1",NA
"Inserção soberana no mundo",NA,NA
"O Brasil acentuará sua presença soberana no mundo.","103.1",NA
"Lutará nos foros internacionais pelo multilateralismo, contribuindo para a reforma das Nações Unidas e de seu Conselho de Segurança, onde reivindica uma vaga permanente.","107",NA
"Manterá suas iniciativas em favor de ordem econômica, financeira e comercial mais justa que beneficie países pobres, e em desenvolvimento,","107",NA
"ao mesmo tempo que reduz as atuais assimetrias mundiais.","103.1",NA
"O Brasil continuará empenhado em sua luta contra a fome","107",NA
"e pela paz.","106",NA
"Defenderá um relacionamento entre as nações baseado nos princípios de respeito à soberania nacional,","103.1",NA
"de não agressão","106",NA
"e de não ingerência nos assuntos internos de outros estados.","103.1",NA
"Privilegiará o processo de integração sul-americana – o Mercosul e a Comunidade Sul-americana de Nações, em especial –","108",NA
"e fortalecerá as relações Sul-Sul, dando ênfase particular às suas relações com os países do continente africano,","107",NA
"ao mesmo tempo em que buscará ampliar seu acesso aos grandes mercados europeu, norte-americano e asiático","407",NA
"e manter com os países desenvolvidos um relacionamento positivo e soberano.","103.1",NA
"Para que tais compromissos se tornem realidade, o novo Governo Lula deverá levar adiante um conjunto de ações, dentre as quais destacamos:","000",NA
"BRASIL PRODUTIVO",NA,NA
"Desenvolvimento com distribuição de renda, estabilidade dos preços, redução da vulnerabilidade externa e mais investimentos",NA,NA
"Dar continuidade à recuperação do salário mínimo com aumentos acima da inflação","412",NA
"e acentuar o crescimento de empregos formais.","701",NA
"Prosseguir o processo de redução da relação dívida pública/PIB.","414",NA
"Aprofundar a redução da taxa de juros, aproximando-a daquela praticada nos países em desenvolvimento.","414",NA
"Perseguir uma taxa de investimento acima dos 25%, para garantir um crescimento superior ao atual.","410",NA
"Prosseguir em programas seletivos de desoneração tributária, buscando fortalecer a expansão do sistema produtivo.","410",NA
"Ampliar a capacidade do sistema financeiro,","410",NA
"expandir o crédito,","410",NA
"promover o desenvolvimento e difusão de inovações financeiras","411",NA
"e criar Fundos Setoriais de longo prazo,","404",NA
"especialmente para financiar infraestrutura","411",NA
"e indústrias de longa maturação.","404",NA
"Reforma Agrária e Política Agrícola",NA,NA
"Promover o desenvolvimento da agricultura nacional com ampliação da renda e cidadania no campo, gerando um ambiente de produção e trabalho que garanta ampliação da renda agrícola, oferta adequada de alimentos e geração de divisas,","703.1",NA
"com preservação dos recursos ambientais.","501",NA
"Ampliar os recursos de crédito rural para o financiamento da produção agropecuária, com custos e prazos adequados à realidade do setor.","703.1",NA
"Dar continuidade à universalização do crédito","703.1",NA
"e políticas diferenciadas aos agricultores familiares, em todas as regiões, promovendo a diversificação da produção da agricultura familiar.","301",NA
"Dar continuidade ao Plano Nacional de Reforma Agrária, mantendo a prioridade de implantar assentamentos com qualidade, recuperar os assentamentos existentes, regularizar o crédito fundiário, tornando a Reforma Agrária ampla, massiva e de qualidade.","703.1",NA
"Reconhecer a diversidade do rural brasileiro, nos seus aspectos ambientais, sociais, culturais e econômicos,","607.1",NA
"que demanda políticas específicas para públicos e regiões distintos,","301",NA
"incluindo as políticas de gênero e geracional.","706",NA
"Política Industrial",NA,NA
"Dar seguimento à Política Industrial e de Inovação com ênfase para os setores de biotecnologia, energias renováveis, tecnologia da informação (especialmente TV digital e semi-condutores), nanotecnologia, fármacos e medicamentos.","411",NA
"Construir o Pólo Petroquímico e a Siderúrgica do Rio de Janeiro.","411",NA
"Garantir o fornecimento do gás que viabilize a construção e a operação da Siderúrgica do Ceará.","411",NA
"Continuidade no apoio à reconstrução de setores industriais como a indústria naval, especialmente de plataformas e petroleiros.","410",NA
"Simplificar os mecanismos de acesso a programas de Inovação por meio de incentivos fiscais previstos por lei","402",NA
"e pelos Fundos Setoriais de Ciência e Tecnologia.","411",NA
"Fortalecer os Centros de Pesquisa e Desenvolvimento para empresas.","411",NA
"Simplificar a legislação de abertura de empresas","402",NA
"e legislação sanitária e ambiental.","303",NA
"Aprofundar a política nacional para micro, pequena e média empresas, conforme Lei Geral em tramitação no Congresso, que estabelece tratamento diferenciado em matéria de crédito, acesso à tecnologia e mercado e às exportações.","402",NA
"Comércio Exterior",NA,NA
"Fortalecer a política de exportações, com destaque para os produtos com valor agre-gado.","406",NA
"Adotar, em setores específicos, medidas contra a concorrência predatória de produtos estrangeiros.","406",NA
"Ampliar e reforçar os entrepostos da APEX no exterior e a Marca Brasil.","408",NA
"Expandir as linhas de crédito do PROEX e do BNDES e o seguro às exportações, incentivando o crescimento da participação dos produtos de maior valor agregado nas exportações e a internacionalização de empresas brasileiras.","406",NA
"Impulsionar a desdolarização do comércio com os países da América Latina","103.2",NA
"e estimular a ampliação do mecanismo de Convênios de Crédito Recíproco (CCR) e outros instrumentos que permitam o intercâmbio comercial em moedas nacionais.","108",NA
"Educação de qualidade",NA,NA
"Ampliar, com estados e municípios, o acesso à educação básica, por meio da universalização do ensino fundamental de 9 anos;","506",NA
"do atendimento à educação infantil;","506",NA
"da continuidade à reestruturação do ensino médio e do ensino noturno,","506",NA
"da ampliação significativa do ensino técnico e tecnológico","411",NA
"e da continuidade das mudanças para a educação no campo.","506",NA
"Expandir progressivamente o atendimento integral à criança e ao jovem, por meio da articulação entre a União, estados, municípios e comunidade, integrando políticas, programas e equipamentos, que façam da escola um pólo educacional,","506",NA
"cultural, de esporte e lazer.","502",NA
"Instituir Piso Salarial Profissional, a partir da aprovação do FUNDEB,","701",NA
"e redefinir a docência por meio de diretrizes de carreira, que contribuam para a ampliação da jornada do professor na mesma escola e para o trabalho integrado e coletivo nos espaços educacionais.","506",NA
"Estruturar a Rede Nacional de Formação de Educadores para a capacitação inicial e continuada.","506",NA
"Ampliar, para tanto, a Universidade Aberta do Brasil, fruto da cooperação entre União, estados, municípios e universidades federais.","506",NA
"Fortalecer o caráter inclusivo e não-discriminatório da educação,","503",NA
"aumentando investimentos na educação especial e indígena","607.1",NA
"e na valorização da diversidade étnico-racial e de gênero.","607.1",NA
"Aprofundar a ampliação do ensino superior de qualidade: continuidade do PROUNI,","506",NA
"criação de novas universidades e de mais vagas nas Universidades Federais existentes;","506",NA
"aprovação da Reforma Universitária,","506",NA
"desenvolvimento de Plano Nacional de Pós-Graduação e do Sistema Nacional de Avaliação do Ensino Superior (SINAES).","506",NA
"Dar prosseguimento à alfabetização de jovens e adultos, garantindo a continuidade do processo de escolarização, inclusive profissional.","506",NA
"Implantar o FUNDEB e sub-vincular os recursos para as universidades federais, como parte do esforço nacional para ampliação dos recursos da educação em relação ao PIB brasileiro.","506",NA
